SKU,Handle,Title,Option,Status,Published,Type,Qty,Price,Cost,Inv Value,Vendor,Part Number,Cost Source
HRPHDBR9.5,heavy-duty-harp,HEAVY DUTY HARP,brass,active,TRUE,Harps,65,2.00,1.04,67.60,Satco,90-554,Est (catalog $1.95 x 0.536)
HRPHDDAB10,heavy-duty-harp,HEAVY DUTY HARP,dark antique brass,active,TRUE,Harps,3,2.00,1.26,3.78,Satco,80-2152,Price sheet 80-2152
HRPHDDAB8,heavy-duty-harp,HEAVY DUTY HARP,dark antique brass,active,TRUE,Harps,3,2.00,1.18,3.54,Satco,90-2089,Est (catalog $2.20 x 0.536)
HRPHDDAB8.5,heavy-duty-harp,HEAVY DUTY HARP,dark antique brass,active,TRUE,Harps,37,2.00,1.18,43.66,Satco,90-2079,Est (catalog $2.20 x 0.536)
HRPHDDAB9,heavy-duty-harp,HEAVY DUTY HARP,dark antique brass,active,TRUE,Harps,11,2.00,1.23,13.53,Satco,80-2177,Est (catalog $2.30 x 0.536)
HRPHDDAB9.5,heavy-duty-harp,HEAVY DUTY HARP,dark antique brass,active,TRUE,Harps,17,2.00,1.23,20.91,Satco,90-2080,Est (catalog $2.30 x 0.536)
HRPHDNK10,heavy-duty-harp,HEAVY DUTY HARP,nickel,active,TRUE,Harps,44,2.00,1.10,48.40,Satco,90-2003,Est (catalog $2.05 x 0.536)
HRPHDNK8,heavy-duty-harp,HEAVY DUTY HARP,nickel,active,TRUE,Harps,45,2.00,1.02,45.90,Satco,90-2001,Est (catalog $1.90 x 0.536)
HRPHDNK8.5,heavy-duty-harp,HEAVY DUTY HARP,nickel,active,TRUE,Harps,39,2.00,1.02,39.78,Satco,90-2008,Est (catalog $1.90 x 0.536)
HRPHDNK9,heavy-duty-harp,HEAVY DUTY HARP,nickel,active,TRUE,Harps,41,2.00,1.04,42.64,Satco,90-2002,Est (catalog $1.95 x 0.536)
HRPHDNK9.5,heavy-duty-harp,HEAVY DUTY HARP,nickel,active,TRUE,Harps,48,2.00,1.04,49.92,Satco,90-2009,Est (catalog $1.95 x 0.536)
ISWFRDIMBK,installed-switch-full-range-dimmer-in-line,SWITCH: Full Range Dimmer In-Line - INSTALLED,Black,active,TRUE,Harps,2,24.00,,,,,
ISWFRDIMBN,installed-switch-full-range-dimmer-in-line,SWITCH: Full Range Dimmer In-Line - INSTALLED,Brown,active,TRUE,Harps,5,24.00,,,,,
ISWFRDIMWH,installed-switch-full-range-dimmer-in-line,SWITCH: Full Range Dimmer In-Line - INSTALLED,White,active,TRUE,Harps,5,24.00,,,,,
ISWLGBN,switch-large-in-line-rocker-add-on-to-cord-set-or-pendant,SWITCH: Large In-Line Rocker - INSTALLED,brown,active,TRUE,Installed Switch,22,10.00,,,,,
ISWLGIV,switch-large-in-line-rocker-add-on-to-cord-set-or-pendant,SWITCH: Large In-Line Rocker - INSTALLED,ivory,active,TRUE,Installed Switch,38,10.00,,,,,
LGHTTTLGASR,through-the-looking-glass-scissor-arm-wall-light,SWITCH: Large In-Line Rocker - INSTALLED,yes - assemble the light for me,active,TRUE,Installed Switch,9999998,50.00,,,,,
