SKU,Handle,Title,Option,Status,Published,Type,Qty,Price,Cost,Inv Value
W182CPBW3TF,2-conductor-18-gauge-black-and-white-triple-tracer-cotton-pulley-cord,2-CONDUCTOR 18-GAUGE BLACK & WHITE TRIPLE TRACER COTTON PULLEY CORD - UL-Listed,By the foot,active,TRUE,Wire,400,0.90,0.16,64.00
W182CPBW3TMNS,2-conductor-18-gauge-black-and-white-triple-tracer-cotton-pulley-cord,2-CONDUCTOR 18-GAUGE BLACK & WHITE TRIPLE TRACER COTTON PULLEY CORD - UL-Listed,NON UL by the 100-foot spool,active,TRUE,Wire,20,80.00,17.46,349.20
W182CPBW3TS,2-conductor-18-gauge-black-and-white-triple-tracer-cotton-pulley-cord,2-CONDUCTOR 18-GAUGE BLACK & WHITE TRIPLE TRACER COTTON PULLEY CORD - UL-Listed,By the 100-foot spool,active,TRUE,Wire,4,80.00,17.46,69.84
W182CPBW4TF,2-conductor-18-gauge-black-and-white-quadruple-tracer-cotton-pulley-cord,2-CONDUCTOR 18-GAUGE BLACK & WHITE QUADRUPLE TRACER COTTON PULLEY CORD - UL-Listed,By the foot,active,TRUE,Wire,488,0.90,0.16,78.08
W182CPBW4TMNS,2-conductor-18-gauge-black-and-white-quadruple-tracer-cotton-pulley-cord,2-CONDUCTOR 18-GAUGE BLACK & WHITE QUADRUPLE TRACER COTTON PULLEY CORD - UL-Listed,NON UL by the 100-foot spool,active,TRUE,Wire,20,80.00,17.46,349.20
W182CPBW4TS,2-conductor-18-gauge-black-and-white-quadruple-tracer-cotton-pulley-cord,2-CONDUCTOR 18-GAUGE BLACK & WHITE QUADRUPLE TRACER COTTON PULLEY CORD - UL-Listed,By the 100-foot spool,active,TRUE,Wire,5,80.00,17.46,87.30
W182CPBWLHF,2-conductor-18-gauge-black-and-white-large-hounds-tooth-cotton-pulley-cord,2-CONDUCTOR 18-GAUGE BLACK & WHITE LARGE HOUND'S-TOOTH  COTTON PULLEY CORD - UL-Listed,By the foot,active,TRUE,Wire,500,0.90,0.16,80.00
W182CPBWLHMNS,2-conductor-18-gauge-black-and-white-large-hounds-tooth-cotton-pulley-cord,2-CONDUCTOR 18-GAUGE BLACK & WHITE LARGE HOUND'S-TOOTH  COTTON PULLEY CORD - UL-Listed,NON UL by the 100-foot spool,active,TRUE,Wire,16,80.00,17.46,279.36
W182CPBWLHS,2-conductor-18-gauge-black-and-white-large-hounds-tooth-cotton-pulley-cord,2-CONDUCTOR 18-GAUGE BLACK & WHITE LARGE HOUND'S-TOOTH  COTTON PULLEY CORD - UL-Listed,By the 100-foot spool,active,TRUE,Wire,5,80.00,17.46,87.30
W182CPBWSHF,2-conductor-18-gauge-black-and-white-small-hounds-tooth-cotton-pulley-cord,2-CONDUCTOR 18-GAUGE BLACK & WHITE SMALL HOUND'S-TOOTH  COTTON PULLEY CORD - UL-Listed,By the foot,active,TRUE,Wire,800,0.90,0.16,128.00
