SKU,Handle,Title,Option,Status,Published,Type,Qty,Price,Cost,Inv Value
W183RPSTXXF,3-conductor-18-gauge-silver-rayon-pulley-cord,3-CONDUCTOR 18-GAUGE SILVER RAYON PULLEY CORD - UL-Listed,By the foot,active,,Wire,300,1.05,0.37,111.0
W183RPSTXXMNS,3-conductor-18-gauge-silver-rayon-pulley-cord,3-CONDUCTOR 18-GAUGE SILVER RAYON PULLEY CORD - UL-Listed,NON UL by the 100-foot spool,active,,Wire,13,89.0,38.05,494.65
W183RPSTXXS,3-conductor-18-gauge-silver-rayon-pulley-cord,3-CONDUCTOR 18-GAUGE SILVER RAYON PULLEY CORD - UL-Listed,By the 100-foot spool,active,,Wire,1,89.0,38.05,38.05
W183RPWBXXF,3-conductor-18-gauge-walnut-brown-rayon-pulley-cord,3-CONDUCTOR 18-GAUGE WALNUT BROWN RAYON PULLEY CORD - UL-Listed,By the foot,active,,Wire,9999528,1.05,0.37,3699825.36
W183RPWBXXS,3-conductor-18-gauge-walnut-brown-rayon-pulley-cord,3-CONDUCTOR 18-GAUGE WALNUT BROWN RAYON PULLEY CORD - UL-Listed,By the 100-foot spool,active,,Wire,-2,89.0,38.05,
W183RPWHXXF,3-conductor-18-gauge-white-rayon-pulley-cord,3-CONDUCTOR 18-GAUGE WHITE RAYON PULLEY CORD - UL-Listed,By the foot,active,,Wire,7,1.05,0.37,2.59
W183RPWHXXMNS,3-conductor-18-gauge-white-rayon-pulley-cord,3-CONDUCTOR 18-GAUGE WHITE RAYON PULLEY CORD - UL-Listed,NON UL by the 100-foot spool,active,,Wire,13,89.0,38.05,494.65
W183RPWHXXS,3-conductor-18-gauge-white-rayon-pulley-cord,3-CONDUCTOR 18-GAUGE WHITE RAYON PULLEY CORD - UL-Listed,By the 100-foot spool,active,,Wire,0,89.0,38.05,
W202CTBKXXF,2-conductor-20-gauge-black-cotton-twisted-wire,2-CONDUCTOR 20-GAUGE BLACK COTTON TWISTED WIRE,By the foot,active,,Wire,110,1.2,0.11,12.1
W202CTBKXXS,2-conductor-20-gauge-black-cotton-twisted-wire,2-CONDUCTOR 20-GAUGE BLACK COTTON TWISTED WIRE,By the 100-foot spool,active,,Wire,9,55.0,11.92,107.28
W202RTBKXXF,2-conductor-20-gauge-black-rayon-twisted-wire,2-CONDUCTOR 20-GAUGE BLACK RAYON TWISTED WIRE,By the foot,active,,Wire,4840,1.2,0.14,677.6
W202RTBKXXS,2-conductor-20-gauge-black-rayon-twisted-wire,2-CONDUCTOR 20-GAUGE BLACK RAYON TWISTED WIRE,By the 100-foot spool,active,,Wire,8,55.0,15.56,124.48
W202RTGDXXF,2-conductor-20-gauge-gold-rayon-twisted-wire,2-CONDUCTOR 20-GAUGE GOLD RAYON TWISTED WIRE,By the foot,active,,Wire,380,1.2,0.14,53.2
W202RTGDXXS,2-conductor-20-gauge-gold-rayon-twisted-wire,2-CONDUCTOR 20-GAUGE GOLD RAYON TWISTED WIRE,By the 100-foot spool,active,,Wire,0,55.0,15.56,
W202RTSTXXF,2-conductor-20-gauge-silver-rayon-twisted-wire,2-CONDUCTOR 20-GAUGE SILVER RAYON TWISTED WIRE,By the foot,active,,Wire,411,1.2,0.14,57.54
W202RTSTXXS,2-conductor-20-gauge-silver-rayon-twisted-wire,2-CONDUCTOR 20-GAUGE SILVER RAYON TWISTED WIRE,By the 100-foot spool,active,,Wire,4,55.0,15.56,62.24
W222CTBK250S,2-conductor-22-gauge-black-cotton-twisted-wire,2-CONDUCTOR 22-GAUGE BLACK COTTON TWISTED WIRE,By the 250-foot spool,active,,Wire,-2,80.0,29.18,
W222CTBKXXF,2-conductor-22-gauge-black-cotton-twisted-wire,2-CONDUCTOR 22-GAUGE BLACK COTTON TWISTED WIRE,By the foot,active,,Wire,0,1.0,0.11,
